user_id,country,device_type,plan_type,signup_ts,device_added,device_added_ts,device_configured,device_configured_ts,alert_viewed,alert_viewed_ts,alert_resolved,alert_resolved_ts
1,IN,gateway,pro,2024-04-25,0,2024-04-26 20:00:00,0,,0,,0,
2,FR,sensor,free,2024-05-01,0,2024-05-02 07:00:00,0,,0,,0,
3,US,sensor,free,2024-03-14,1,2024-03-14 05:00:00,1,2024-03-17 03:00:00,1,2024-03-17 06:00:00,1,2024-03-19 11:00:00
4,US,gateway,enterprise,2024-05-29,1,2024-05-30 05:00:00,1,2024-05-30 20:00:00,1,2024-06-01 10:00:00,0,
5,DE,gateway,enterprise,2024-04-30,1,2024-05-02 21:00:00,1,2024-05-03 09:00:00,1,2024-05-04 21:00:00,0,
6,DE,tracker,free,2024-06-01,1,2024-06-03 18:00:00,1,2024-06-05 03:00:00,0,,0,
7,DE,sensor,pro,2024-05-08,1,2024-05-08 14:00:00,1,2024-05-09 00:00:00,1,2024-05-11 19:00:00,1,2024-05-14 11:00:00
8,UK,tracker,free,2024-03-19,1,2024-03-21 11:00:00,1,2024-03-24 09:00:00,0,,0,
9,US,sensor,free,2024-06-16,1,2024-06-18 05:00:00,1,2024-06-19 23:00:00,1,2024-06-20 11:00:00,0,
10,US,tracker,free,2024-01-31,1,2024-02-01 05:00:00,1,2024-02-02 14:00:00,1,2024-02-03 01:00:00,0,
11,DE,tracker,free,2024-04-26,1,2024-04-26 04:00:00,0,,0,,0,
12,FR,sensor,pro,2024-01-05,1,2024-01-06 08:00:00,1,2024-01-09 02:00:00,0,,0,
13,UK,tracker,free,2024-06-24,1,2024-06-26 01:00:00,1,2024-06-26 19:00:00,0,,0,
14,DE,tracker,pro,2024-04-24,1,2024-04-25 14:00:00,0,,0,,0,
15,DE,sensor,pro,2024-03-13,0,2024-03-14 05:00:00,0,,0,,0,
16,DE,gateway,free,2024-02-20,1,2024-02-20 01:00:00,1,2024-02-20 07:00:00,0,,0,
17,IN,sensor,free,2024-03-21,0,2024-03-21 03:00:00,0,,0,,0,
18,US,tracker,pro,2024-06-05,1,2024-06-06 18:00:00,1,2024-06-08 00:00:00,0,,0,
19,IN,sensor,free,2024-06-27,1,2024-06-28 08:00:00,0,,0,,0,
20,IN,sensor,free,2024-02-24,1,2024-02-24 23:00:00,1,2024-02-25 19:00:00,0,,0,
21,US,sensor,free,2024-06-18,1,2024-06-19 02:00:00,1,2024-06-21 10:00:00,1,2024-06-21 17:00:00,1,2024-06-22 12:00:00
22,DE,gateway,free,2024-03-21,1,2024-03-22 14:00:00,1,2024-03-23 14:00:00,0,,0,
23,IN,tracker,pro,2024-04-19,1,2024-04-19 22:00:00,1,2024-04-22 10:00:00,1,2024-04-25 03:00:00,1,2024-04-26 09:00:00
24,IN,tracker,pro,2024-03-18,1,2024-03-18 12:00:00,1,2024-03-20 04:00:00,1,2024-03-21 18:00:00,0,
25,IN,sensor,free,2024-05-27,1,2024-05-29 15:00:00,0,,0,,0,
26,UK,sensor,free,2024-04-20,1,2024-04-20 16:00:00,0,,0,,0,
27,DE,gateway,enterprise,2024-03-31,0,2024-04-02 10:00:00,0,,0,,0,
